Name,Award Criteria,#,Internal ID,Internal Name,Internal Category,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Reward Tier 1,Reward Tier 2,Reward Tier 3,Reward Tier 4,Reward Tier 5,Reward Tier 6,Sequential,Version,Unique Entry ID
Shop to It,Number of times you've ordered from the Nook Shopping catalog,38,16,BuyItemCatalog,Smartphone,5,1,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,7rQbwihnNhEFFZmQo
Growing Collection,Number of unique furniture pieces you've added to your catalog,39,15,FillCatalog,Smartphone,5,100,200,300,400,500,300,500,1000,2000,3000,0,Yes,1.0.0,nbEPYsfFJzwG8bozx
Nook Miles for Miles!,Number of Nook Miles+ goals you've completed,40,58,AchieveAppQuest,Smartphone,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,6Qsg6ca6qcXfQJvd9
First-Time Buyer,Awarded the first time you purchase an item from a shop,41,12,BuyItemRcm,Money,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,dRgaFTqnG9WJ3nDPj
Seller of Unwanted Stuff,Awarded the first time you sell and item to a shop,42,13,SellItemRcm,Money,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,SaJbYEBdon4j2HiML
Moving Fees Paid!,Awarded when you pay off your initial loan using Nook Miles,43,33,PayImmigrationCost,Money,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,rQJoK5E25RSskQeW5
Bell Ringer,Number of total bells you've spent in shops,44,11,HowmuchBuyItem,Money,5,5000,50000,500000,2000000,5000000,300,500,1000,2000,3000,0,Yes,1.0.0,r5mJC5k8vYuZRkXJT
Miles for Stalkholders,Awarded the first time you purchase turnips,45,9,BuyKabu,Money,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,AzYYmDqvumcZwmqFf
Cornering the Stalk Market,Number of total bells you've profited from selling turnips,46,10,HowmuchSellKabu,Money,5,1000,10000,100000,1000000,10000000,300,500,1000,2000,3000,0,Yes,1.0.0,gvMPEpKkGPLmEeDPe
No More Loan Payments!,Awarded after paying off your first house loan with bells,47,34,RepayLoan,Money,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,uhbojHTBeM2Cnfkuh
Bulletin-Board Benefit,Awarded the first time you post a message on your town bulletin board,48,83,PostMessageBoard,Communication,1,1,0,0,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,rZLyEe6QGk9G7sLTP
Popular Pen Pal,Number of letters you've sent,49,50,SendLetter,Communication,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,EJMKZDs8N5xGkfduP
Flea Flicker,Number of times you've caught fleas off a villager,50,26,CatchNomi,Insect,3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,WRvG4EsvYQbqJupxi
Cicada Memories,Awarded the first time you catch a cicada shell,51,25,CatchSeminonukegara,Insect,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,t9vayZu88rPHrY79j
Netting Better!,Awarded the first time you catch five wasps in a row without running away or getting stung,52,71,CatchBeeContinuously,Insect,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,ojjJY4tQvSCs3BYda
Pit-y Party!,Awarded the first time you bury a pitfall seed,53,51,MakePitfall,HHA,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,MwQQ43gFXFky4Z2hG
Taking the Sting Out,Awarded the first time you get stung by a wasp,54,24,BeStungbyWasp,Negative,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,P82MkAcpWY9ZAQTnD
Faint of Heart,Awarded the first time you get knocked out by a Scorpion or Tarantula,55,27,BeStungbyPoisonousInsect,Negative,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,NwntrWkuaxtB8NoL9
Overcoming Pitfalls,Awarded the first time you fall into a pitfall hole,56,52,FallintoPitfall,Negative,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,DhKzQBem5HZytprbC
Faked Out!,Donated a fake piece of art,57,90,DonateFake,Negative,1,1,0,0,0,0,500,0,0,0,0,0,No,1.2.0,vakbzK5ihWAQR2aux
Lost Treasure,Awarded the first time a balloon present you shot lands in a body of water,58,80,DropPresentinWater,Negative,1,1,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,Y2kKBHN6kT7zxkTbm
It's Raining Treasure!,Number of balloons you've shot down with a slingshot,59,5,ShootDownBalloon,LandMaking,5,5,20,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,EEocBnCSkNM9ukMic
Fun with Fences,Awarded the first time you place a fence,60,89,BuildFence,LandMaking,1,20,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,fNCiNgcTMxFwqAzxN
Snowmaestro,Number of perfect snow-people you've built,61,45,MakePerfectSnowball,LandMaking,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,XcwvgbKXNWiLjmJDX
Wishes Come True,Number of shooting stars you've wished on.,62,85,PrayShootingStar,LandMaking,3,1,30,200,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,WcKhJsbYhwKKkCLqd
Exterior Decorator,Awarded the first time you place some furniture outside,63,64,PutFurnitureOutside,LandMaking,1,10,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,TW2jrhLDvtDhjZAKx
(island name) Icons,Awarded for changing your town tune and island flag for the first time,64,86,ChangeSymbol,LandMaking,2,0,0,0,0,0,500,500,2000,3000,5000,0,No,1.0.0,umpcvH5jtsWEir4rR
Island Designer,"Awarded the first time you use the Island Designer app to place a path, add/remove water, and build/destroy a cliff",65,88,ModifyIsland,LandMaking,3,0,0,0,0,0,500,1000,1000,3000,5000,0,No,1.0.0,NyFc3PaM4omZLfuic
Wispy Island Secrets,Number of times you've helped Wisp find the parts of his spirit,66,44,HelpGst,Communication,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,nSkcG8gSanouEFg9x
Gulliver's Travails,Number of times you've helped Gulliver fix his communicator,67,43,HelpGul,Communication,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,GfHAM2edJCAAN9xsF
K.K. Mania,Number of K.K. shows you've attended,68,17,GotoTotakekeShow,Communication,5,1,10,30,60,100,300,500,1000,2000,3000,0,Yes,1.0.0,aNZ2t8CH7dgpRefc3
True Patron of the Arts,Number of times you purchased art that turned out to be real,69,91,BuyatTsunekichiShop,Communication,3,1,10,20,0,0,300,500,1000,0,0,0,Yes,1.2.0,YTpzbNPue2fAe3FdS
True Friends,Number of villagers you've become good friends with,70,54,BeFriendwithVillager,Communication,3,1,2,3,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ZD7xtJZTo9mGk9tTk
Birthday Celebration,Number of villager birthdays you've attended,71,47,CelebrateVillagersBithday,Communication,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,5TKJXZPvrkPLiQ6XC
Happy Birthday!,Awarded the first time you play on your character's birthday,72,46,ReachMyBirthday,Event,1,1,0,0,0,0,2000,500,1000,2000,3000,0,Yes,1.0.0,6vc2Rm2s3rE9EFZoM
Fishing Tourney!,Awarded the first time you attend a fishing tourney in each season,73,41,AttendFishingConvention,Fish,4,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,Z2C4JGKnsPJqhyDFM
Bug-Off!,Awarded the first time you attend a bug-off tourney in each season,74,42,AttendInsectConvention,Insect,4,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,HQJJaicSZQ79LstpA
Countdown Celebration,Awarded for attending the new year holiday event,75,48,AttendCountdownParty,Event,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,PTMwJTvnX3A4gxjN9
Making a Change,Awarded the first time you use a wardrobe to change your character's outfit,76,84,UseCloset,MyDesign,1,1,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,NBmsw6tCLZzWXcGcK
First Custom Design!,Awarded the first time you use the Custom Design app to edit or create a design,77,35,UseMydesign,MyDesign,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,44KNAwCSGuatXHYeh
Custom Design Pro!,Awarded the first time you use the Custom Design pro app to edit or create a design,78,36,UseMydesignPRO,MyDesign,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ch29owdtPq5Jd73xx
Paydirt!,Awarded the first time you dig up bells from a shining spot,79,60,DigBell,Money,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ps4e4DFg2pnHvdvRm
Shady Shakedown,Number of furniture pieces you've found from shaking trees,80,79,FallFurnitureLeaf,Plant,5,1,10,20,50,100,300,1000,2000,3000,5000,0,Yes,1.0.0,o37WLZhgDMnMbDbPx
Golden Milestone,"Awarded for each unique golden tool you've equipped (shovel, net, fishing rod, watering can, axe, and slingshot)",81,39,CollectGoldTool,HHA,6,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,B9uYNJkiP5jqkn3SX
Island and Yourland,Number of times you've visited another player's island (does not count mystery islands using Nook Miles Tickets),82,18,VisitAnotherIsland,Communication,3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,JofcHyqspqdvy92rH
Host the Most,Number of other players that have visited your island,83,19,InviteFriend,Communication,3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,YdeZW248LnovzB7EB
Active Island Resident,Number of total unique days you've played the game,84,21,DayPlayed,Event,5,3,20,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,QgGe5XTYJhjfgbMHW
